,市場平均,配当コア25 年1回,配当コア25 半年,配当コア15 年1回,配当コア40 年1回,利回りだけ上位25,トレンド条件なし25,減配歴チェックなし25
2022-05-13,1.9347968020207778,0.9329121114091331,1.0454027251647435,0.9935029631898685,0.9270849730109557,1.2186357706828148,1.1352903958480043,0.9535156496723093
2022-05-16,1.9274870595981068,0.9230629183748822,1.02796880753541,0.9842315504087624,0.9173756738383902,1.2128979595453795,1.123714583664278,0.9344203045383856
2022-05-17,1.9344848596173971,0.9252465261983259,1.034644933107516,0.9873768733443063,0.9198132811914831,1.2120698294014656,1.124515823935526,0.9361159748843398
2022-05-18,1.9474040796765575,0.9281545490215248,1.0437444910617293,0.9904397135665131,0.9232015287990183,1.2203289167283045,1.1285012824127088,0.9417055881885292
2022-05-19,1.9308801555374548,0.9235884765442054,1.0425285285447172,0.9863290802598653,0.9188002342800445,1.2157841574376533,1.1277297199484784,0.9372906080507973
2022-05-20,1.9483307968757313,0.9308006455390633,1.050570720372239,0.9932798247532497,0.9288478411283001,1.2205739555250947,1.1317486195825681,0.943126278630681
2022-05-23,1.9679967465383896,0.9360942945780926,1.0554993647899031,0.9964399481905019,0.9343687963909718,1.2277036517296496,1.1382868370132513,0.9465845765136761
2022-05-24,1.9424300201174505,0.928429833272735,1.0527172263598816,0.9908170205180974,0.9268030702839011,1.2229861342037947,1.1302865402871913,0.9397083597246534
2022-05-25,1.931177823787794,0.9284841778586401,1.0565667824004092,0.9909035433102599,0.9267074603933614,1.2200882033229477,1.1307930485364601,0.9389870749593522
2022-05-26,1.9365991321574647,0.9334981275055748,1.0522007677371201,0.9971511157227392,0.931629072427657,1.2204699983665297,1.1332106600338505,0.9457028224045669
2022-05-27,1.9486149298423547,0.9370655986041048,1.0574427969768936,1.0003832996061808,0.9347807615417856,1.2239935755008091,1.1365139131447057,0.9481333355392254
2022-05-30,1.990050141368483,0.9523774071952085,1.0660181534840223,1.0179980235459571,0.9500618541610382,1.2346597189731887,1.1486088156260101,0.961296611212265
2022-05-31,1.9831920844634021,0.9475857197310839,1.06115425369962,1.0135047395167178,0.9455186863730648,1.2291790505963165,1.140030621016177,0.9569579412051777
2022-06-01,2.0139142925743765,0.9611878418201997,1.075792476934173,1.025421301589232,0.9591656030175736,1.2448651570348443,1.1546921053004815,0.9712499551467324
2022-06-02,2.0035468729208525,0.9608148594007152,1.0726556978881656,1.0257375938087971,0.9594361995294785,1.242805611564562,1.154363868149598,0.971958644430235
2022-06-03,2.016201018465882,0.9629110772660665,1.0735347175601366,1.0312405108534908,0.9618087209002437,1.2450071816278714,1.1565550001812488,0.9741453176509791
2022-06-06,2.0259558900267987,0.966140452135883,1.0929373733263297,1.035155274957399,0.9652643519230748,1.2521649154695065,1.1633423668946434,0.9800749392206071
2022-06-07,2.032731839504501,0.9714392947413987,1.104686206634359,1.040882125285595,0.9709378256487674,1.2608654129772874,1.1697479121323708,0.9879864308493003
2022-06-08,2.0574158382092644,0.9816946553741939,1.1158972163220062,1.0566386892743937,0.9804820249604842,1.269036130533594,1.1809092010003839,0.9972950054297572
2022-06-09,2.057767006518811,0.9817677304338237,1.1158437974787916,1.0570204705388198,0.9801829868722175,1.268341467294052,1.179323368234729,0.9955097466444504
2022-06-10,2.030775845308548,0.9726956495920913,1.1001708418467524,1.0451430717107382,0.9708844805982195,1.2575120002325808,1.1694830598551063,0.9845589492967216
2022-06-13,1.9933941970773412,0.9612171082477312,1.0877538865093896,1.034303077879476,0.958843135447048,1.247780066364386,1.1626412046436403,0.9726379548278277
2022-06-14,1.9775876760444278,0.952338056759346,1.0819273627960992,1.0251608059952702,0.9502640173887082,1.2392496653595306,1.1565945006433358,0.9641156002856054
2022-06-15,1.9521688396064076,0.9424183620706622,1.0650239698073751,1.010418992268965,0.9407824389132441,1.225547293665038,1.1407914783102284,0.9519021135287503
2022-06-16,1.9598674351300525,0.9488125766320626,1.0693644241069613,1.0156295074836819,0.9469864660981909,1.2317178377283065,1.1487671794035739,0.954808836934777
2022-06-17,1.9291170665126478,0.9368858637808546,1.0613325901170674,1.0025027219664175,0.9349778506335679,1.2201365957617771,1.141025586906335,0.944454442812577
2022-06-20,1.9031477172316351,0.9208452881313655,1.0417200735167031,0.9810455092218143,0.9192768421702434,1.2053902260308702,1.1246786574250973,0.926877109477907
2022-06-21,1.9432275813849693,0.9386633148032931,1.0608273948719045,1.0016277109723668,0.9367505753591867,1.2263944778941211,1.1440002618232648,0.9462282111810101
2022-06-22,1.9348885124926605,0.9304692244237485,1.0540345199911614,0.9898384620078162,0.9280883948259938,1.22222104182038,1.137843722604839,0.9387097563463674
2022-06-23,1.9397741139511155,0.9290333430514807,1.0492511994194937,0.9861063216403206,0.9260888253435307,1.2211951268086902,1.1366754316815502,0.9377420813205244
2022-06-24,1.9680757242160973,0.933764774849586,1.0525312446045878,0.990865078504206,0.9295415187952594,1.2200458392350244,1.1374671351083838,0.9406710027667038
2022-06-27,1.988327272922021,0.9416988405248604,1.0620401260578585,1.0020902783348495,0.9372173875675668,1.2285377833668993,1.1502389045421468,0.9490882166397525
2022-06-28,2.0098886830580236,0.9554232442284802,1.0806796920576236,1.0153262008513457,0.950483189414703,1.2434322884454263,1.1656562104469836,0.9634131696163569
